video_game_key,title,genre,platform,publisher,year
213,lego star wars: the complete saga,action,ds,lucasarts,2007
214,diddy kong racing,racing,n64,nintendo,1997
215,monster hunter freedom 3,role-playing,psp,capcom,2010
216,dr. mario,puzzle,nes,nintendo,1990
217,god of war iii,action,ps3,sony computer entertainment,2010
218,starcraft ii: wings of liberty,strategy,pc,activision,2010
219,assassin's creed,adventure,ps3,ubisoft,2007
220,fifa 15,sports,ps3,electronic arts,2014
221,crash team racing,racing,ps,sony computer entertainment,1999
222,fifa 17,sports,ps4,electronic arts,2016
223,batman: arkham city,action,x360,warner bros. interactive entertainment,2011
224,driver 2,action,ps,atari,2000
225,the simpsons: hit & run,racing,ps2,vivendi games,2003
226,tony hawk's pro skater 2,sports,ps,activision,2000
227,animal crossing: city folk,simulation,wii,nintendo,2008
228,the lord of the rings: the two towers,action,ps2,electronic arts,2002
229,forza motorsport 4,racing,x360,microsoft game studios,2011
230,tomb raider,action,ps,eidos interactive,1996
231,guitar hero iii: legends of rock,misc,wii,activision,2007
232,the legend of zelda: a link to the past,action,snes,nintendo,1991
233,the legend of zelda: the wind waker,action,gc,nintendo,2002
234,mario & sonic at the olympic winter games,sports,wii,sega,2009
235,luigi's mansion: dark moon,action,3ds,nintendo,2013
236,splatoon,shooter,wiiu,nintendo,2015
237,the last of us,action,ps4,sony computer entertainment,2014
238,guitar hero iii: legends of rock,misc,x360,activision,2007
239,madden nfl 2005,sports,ps2,electronic arts,2004
240,pitfall!,platform,2600,activision,1981
241,madden nfl 07,sports,ps2,electronic arts,2006
242,spider-man: the movie,action,ps2,activision,2002
243,dragon quest vii: warriors of eden,role-playing,ps,enix corporation,2000
244,uncharted: the nathan drake collection,action,ps4,sony computer entertainment,2015
245,call of duty: advanced warfare,shooter,ps3,activision,2014
246,god of war,action,ps2,sony computer entertainment,2005
247,nintendo land,misc,wiiu,nintendo,2012
248,michael jackson: the experience,misc,wii,ubisoft,2010
249,tony hawk's pro skater 3,sports,ps2,activision,2001
250,winning eleven: pro evolution soccer 2007,sports,ps2,konami digital entertainment,2006
251,the elder scrolls iv: oblivion,role-playing,x360,take-two interactive,2006
252,zelda ii: the adventure of link,adventure,nes,nintendo,1987
253,need for speed: most wanted,racing,ps2,electronic arts,2005
254,resistance: fall of man,shooter,ps3,sony computer entertainment,2006
255,sonic the hedgehog,platform,gen,sega,1991
256,kingdom hearts ii,role-playing,ps2,square enix,2005
257,fifa 14,sports,x360,electronic arts,2013
258,call of duty: advanced warfare,shooter,x360,activision,2014
259,asteroids,shooter,2600,atari,1980
260,fable ii,role-playing,x360,microsoft game studios,2008
261,halo 5: guardians,shooter,xone,microsoft game studios,2015
262,super mario 3d world,platform,wiiu,nintendo,2013
263,batman: arkham asylum,action,ps3,eidos interactive,2009
264,assassin's creed: revelations,action,ps3,ubisoft,2011
265,namco museum,misc,gba,namco bandai games,2001
266,metal gear solid 3: snake eater,action,ps2,konami digital entertainment,2004
267,daxter,platform,psp,sony computer entertainment,2006
268,warcraft ii: tides of darkness,strategy,pc,activision,1995
269,the legend of zelda: ocarina of time,action,3ds,nintendo,2011
270,fifa soccer 06,sports,ps2,electronic arts,2005
271,eyetoy play,misc,ps2,sony computer entertainment,2003
272,uncharted 4: a thief's end,shooter,ps4,sony computer entertainment,2016
273,gran turismo 5 prologue,racing,ps3,sony computer entertainment,2007
274,assassin's creed: revelations,action,x360,ubisoft,2011
275,street fighter iv,fighting,ps3,capcom,2009
276,fifa 12,sports,x360,electronic arts,2011
277,teenage mutant ninja turtles,action,nes,palcom,1989
278,excitebike,racing,nes,nintendo,1984
279,frogger,action,ps,hasbro interactive,1997
280,madden nfl 2003,sports,ps2,electronic arts,2002
281,watch dogs,action,ps4,ubisoft,2014
282,half-life,shooter,pc,vivendi games,1997
283,super mario world 2: yoshi's island,platform,snes,nintendo,1995
284,fifa soccer 07,sports,ps2,electronic arts,2006
285,the legend of zelda: skyward sword,action,wii,nintendo,2011
286,street fighter ii turbo,fighting,snes,capcom,1992
287,carnival games,misc,wii,take-two interactive,2007
288,fallout 4,role-playing,xone,bethesda softworks,2015
289,world of warcraft: the burning crusade,role-playing,pc,activision,2007
290,fallout: new vegas,role-playing,x360,bethesda softworks,2010
291,god of war ii,action,ps2,sony computer entertainment,2007
292,forza motorsport 2,racing,x360,microsoft game studios,2007
293,world soccer winning eleven 9,sports,ps2,konami digital entertainment,2005
294,namco museum vol.3,misc,ps,sony computer entertainment,1996
295,tekken tag tournament,fighting,ps2,namco bandai games,2000
296,far cry 4,shooter,ps4,ubisoft,2014
297,star fox 64,shooter,n64,nintendo,1997
298,minecraft,misc,ps4,sony computer entertainment europe,2014
299,golf,sports,nes,nintendo,1984
300,fallout 3,role-playing,ps3,bethesda softworks,2008
301,professor layton and the diabolical box,puzzle,ds,nintendo,2007
302,left 4 dead 2,shooter,x360,electronic arts,2009
303,namco museum: 50th anniversary,misc,ps2,namco bandai games,2005
304,ea sports active,sports,wii,electronic arts,2009
305,assassin's creed: unity,action,ps4,ubisoft,2014
306,donkey kong land,platform,gb,nintendo,1994
307,tony hawk's underground,sports,ps2,activision,2003
308,assassin's creed iv: black flag,action,ps3,ubisoft,2013
309,monster hunter 4 ultimate,role-playing,3ds,nintendo,2014
310,motorstorm,racing,ps3,sony computer entertainment,2006
311,the elder scrolls v: skyrim,role-playing,pc,bethesda softworks,2011
312,tekken 5,fighting,ps2,namco bandai games,2005
313,dragon warrior iii,role-playing,nes,enix corporation,1988
314,sports champions,sports,ps3,sony computer entertainment,2010
315,nba 2k16,sports,ps4,take-two interactive,2015
316,world soccer winning eleven 8 international,sports,ps2,konami digital entertainment,2004
317,flash focus: vision training in minutes a day,misc,ds,nintendo,2007
318,namco museum vol.1,misc,ps,sony computer entertainment,1995
319,the legend of zelda: link's awakening,action,gb,nintendo,1992
320,mario & luigi: bowser's inside story,role-playing,ds,nintendo,2009
321,big brain academy: wii degree,misc,wii,nintendo,2007
322,nintendogs + cats,simulation,3ds,nintendo,2011
323,batman: arkham knight,action,ps4,warner bros. interactive entertainment,2015
324,mario & sonic at the london 2012 olympic games,sports,wii,sega,2011
325,lego indiana jones: the original adventures,action,x360,activision,2008
326,resident evil director's cut,action,ps,virgin interactive,1996
327,ratchet & clank: size matters,platform,psp,sony computer entertainment,2007
328,just dance 2014,misc,wii,ubisoft,2013
329,the sims: unleashed,simulation,pc,electronic arts,2002
330,super paper mario,platform,wii,nintendo,2007
331,harry potter and the sorcerer's stone,action,ps,electronic arts,2001
332,the witcher 3: wild hunt,role-playing,ps4,namco bandai games,2015
333,resident evil 3: nemesis,action,ps,eidos interactive,1999
334,spyro: year of the dragon,platform,ps,sony computer entertainment,2000
335,fifa soccer 2005,sports,ps2,electronic arts,2004
336,pokémon trading card game,strategy,gb,nintendo,1998
337,battlefield 4,shooter,ps3,electronic arts,2013
338,mysims,simulation,ds,electronic arts,2007
339,friend collection,misc,ds,nintendo,2009
340,tony hawk's pro skater 4,sports,ps2,activision,2002
341,midnight club 3: dub edition,racing,psp,take-two interactive,2005
342,banjo-kazooie,platform,n64,nintendo,1998
343,socom: u.s. navy seals,shooter,ps2,sony computer entertainment,2002
344,guitar hero: world tour,misc,wii,activision,2008
345,gran turismo 6,racing,ps3,sony computer entertainment,2013
346,jak and daxter: the precursor legacy,platform,ps2,sony computer entertainment,2001
347,pokemon snap,simulation,n64,nintendo,1999
348,fifa soccer 10,sports,ps3,electronic arts,2009
349,pro evolution soccer 2008,sports,ps2,konami digital entertainment,2007
350,call of duty: ghosts,shooter,ps4,activision,2013
351,resident evil 4,action,ps2,capcom,2005
352,tom clancy's the division,shooter,ps4,ubisoft,2016
353,star wars: battlefront,shooter,ps2,lucasarts,2004
354,doom ii: hell on earth,shooter,pc,virgin interactive,1994
355,the simpsons: road rage,racing,ps2,electronic arts,2001
356,cooking mama 2: dinner with friends,simulation,ds,505 games,2007
357,luigi's mansion,action,gc,nintendo,2001
358,star wars: battlefront ii,shooter,ps2,lucasarts,2005
359,wwf smackdown!,fighting,ps,thq,2000
360,croc: legend of the gobbos,platform,ps,fox interactive,1997
361,grand theft auto: liberty city stories,action,ps2,take-two interactive,2006
362,the getaway,action,ps2,sony computer entertainment,2002
363,tomb raider iii: adventures of lara croft,action,ps,eidos interactive,1997
364,james bond 007: agent under fire,shooter,ps2,electronic arts,2001
365,lego star wars: the video game,action,ps2,eidos interactive,2005
366,battlefield 4,shooter,x360,electronic arts,2013
367,fifa soccer 11,sports,x360,electronic arts,2010
368,rugrats in paris: the movie,action,ps,thq,2000
369,spyro 2: ripto's rage!,platform,ps,sony computer entertainment,1999
370,left 4 dead,shooter,x360,electronic arts,2008
371,mario & sonic at the olympic winter games,sports,ds,sega,2009
372,resident evil 5,action,x360,capcom,2009
373,donkey kong country 3: dixie kong's double trouble!,platform,snes,nintendo,1996
374,assassin's creed: brotherhood,action,x360,ubisoft,2010
375,kung fu,action,nes,nintendo,1985
376,batman: arkham asylum,action,x360,eidos interactive,2009
377,clubhouse games,misc,ds,nintendo,2006
378,fifa soccer 2004,sports,ps2,electronic arts,0
379,star wars battlefront (2015),shooter,xone,electronic arts,2015
380,battlefield: bad company 2,shooter,x360,electronic arts,2010
381,guitar hero: on tour,misc,ds,activision,2008
382,assassin's creed: unity,action,xone,ubisoft,2014
383,far cry 3,shooter,ps3,ubisoft,2012
384,monster hunter 4,role-playing,3ds,capcom,2013
385,borderlands,shooter,x360,take-two interactive,2009
386,tekken 4,fighting,ps2,namco bandai games,2002
387,battlefield 4,shooter,ps4,electronic arts,2013
388,littlebigplanet 2,platform,ps3,sony computer entertainment,2011
389,grand theft auto 2,action,ps,take-two interactive,1998
390,final fantasy iii,role-playing,snes,squaresoft,1994
391,spider-man 2,action,ps2,activision,2004
392,f-1 race,racing,gb,nintendo,1990
393,fifa soccer 2003,sports,ps2,electronic arts,2002
394,crash bash,misc,ps,sony computer entertainment,2000
395,lego batman: the videogame,action,x360,warner bros. interactive entertainment,2008
396,metal gear solid v: the phantom pain,action,ps4,konami digital entertainment,2015
397,the legend of zelda: spirit tracks,action,ds,nintendo,2009
398,wwf war zone,fighting,ps,acclaim entertainment,1998
399,the legend of zelda: majora's mask,action,n64,nintendo,2000
400,professor layton and the unwound future,puzzle,ds,nintendo,2008
401,rugrats: search for reptar,adventure,ps,thq,1998
402,assassin's creed iv: black flag,action,x360,ubisoft,2013
403,english training: have fun improving your skills!,misc,ds,nintendo,2006
404,james bond 007: nightfire,shooter,ps2,electronic arts,2002
405,ratchet & clank,platform,ps2,sony computer entertainment,2002
406,mario party 9,misc,wii,nintendo,2012
407,star wars episode iii: revenge of the sith,action,ps2,lucasarts,2005
408,max payne,shooter,ps2,take-two interactive,2001
409,the lord of the rings: the return of the king,action,ps2,electronic arts,2003
410,assassin's creed syndicate,action,ps4,ubisoft,2015
411,destiny,shooter,xone,activision,2014
412,true crime: streets of la,action,ps2,activision,2003
413,wii music,misc,wii,nintendo,2008
414,gran turismo (psp),racing,psp,sony computer entertainment,2009
415,monster hunter x,action,3ds,capcom,2015
416,tekken,fighting,ps,sony computer entertainment,1995
417,fifa 16,sports,xone,electronic arts,2015
418,l.a. noire,adventure,ps3,take-two interactive,2011
419,madden nfl 16,sports,ps4,electronic arts,2015
420,yokai watch 2 ganso/honke,role-playing,3ds,nintendo,2014
421,007: tomorrow never dies,shooter,ps,electronic arts,1999
422,baseball,sports,nes,nintendo,1983
423,killer instinct,fighting,snes,nintendo,1995
424,wwf smackdown! 2: know your role,fighting,ps,thq,2000
425,crisis core: final fantasy vii,role-playing,psp,square enix,2007
426,god of war: chains of olympus,action,psp,sony computer entertainment,2008
427,dragon quest vi: maboroshi no daichi,role-playing,snes,enix corporation,1995
428,dance central,misc,x360,mtv games,2010
429,enter the matrix,action,ps2,atari,2003
430,super mario maker,platform,wiiu,nintendo,2015
431,fallout: new vegas,role-playing,ps3,bethesda softworks,2010
432,lego batman: the videogame,action,wii,warner bros. interactive entertainment,0
433,rhythm heaven,misc,ds,nintendo,2008
434,ace combat 04: shattered skies,simulation,ps2,sony computer entertainment europe,2001
435,club penguin: elite penguin force,adventure,ds,disney interactive studios,2008
436,animal crossing,simulation,gc,nintendo,2001
437,lego batman: the videogame,action,ds,warner bros. interactive entertainment,2008
438,sonic rush,platform,ds,sega,2005
439,resident evil 6,shooter,ps3,capcom,2012
440,halo: the master chief collection,shooter,xone,microsoft game studios,2014
441,fifa soccer 08,sports,ps2,electronic arts,2007
442,spider-man,action,ps,activision,2000
443,need for speed iii: hot pursuit,racing,ps,electronic arts,1998
444,star wars episode i racer,racing,n64,nintendo,1999
445,personal trainer: cooking,misc,ds,nintendo,2006
446,the elder scrolls iv: oblivion,role-playing,ps3,ubisoft,2007
447,dragon warrior iv,role-playing,nes,enix corporation,1990
448,heavy rain,adventure,ps3,sony computer entertainment,2010
449,mass effect 2,role-playing,x360,electronic arts,2010
450,fifa 15,sports,x360,electronic arts,2014
451,dragon ball z: budokai,fighting,ps2,atari,2002
452,madden nfl 2002,sports,ps2,electronic arts,2001
453,world class track meet,sports,nes,namco bandai games,1986
454,borderlands 2,shooter,x360,take-two interactive,2012
455,the legend of zelda: a link between worlds,action,3ds,nintendo,2013
456,donkey kong,platform,gb,nintendo,1994
457,the sims: vacation,simulation,pc,electronic arts,2002
458,mass effect 3,role-playing,x360,electronic arts,2012
459,kung fu panda,action,x360,activision,2008
460,far cry 3,shooter,x360,ubisoft,2012
461,epic mickey,platform,wii,disney interactive studios,2010
462,saints row 2,action,x360,thq,2008
463,rayman,platform,ps,ubisoft,1995
464,killzone 2,shooter,ps3,sony computer entertainment,2009
465,tom clancy's splinter cell,action,xb,ubisoft,2002
466,mike tyson's punch-out!!,fighting,nes,nintendo,1987
467,wwe smackdown! shut your mouth,sports,ps2,thq,2002
468,gears of war: ultimate edition,shooter,xone,microsoft game studios,2015
469,nba 2k13,sports,x360,take-two interactive,2012
470,dragon ball z: budokai tenkaichi 3,fighting,ps2,atari,2007
471,wwe smackdown vs. raw 2006,fighting,ps2,,0
472,middle-earth: shadow of mordor,action,ps4,warner bros. interactive entertainment,2014
473,star fox,shooter,snes,nintendo,1993
474,the sims: livin large,misc,pc,electronic arts,2000
475,world soccer winning eleven 6 international,sports,ps2,konami digital entertainment,2002
476,devil may cry,action,ps2,capcom,2001
477,animal crossing: happy home designer,simulation,3ds,nintendo,2015
478,battlefield: bad company 2,shooter,ps3,electronic arts,2010
479,the sims 4,simulation,pc,electronic arts,2014
480,star wars: the old republic,role-playing,pc,electronic arts,2011
481,sonic heroes,platform,ps2,sega,2003
482,kirby super star ultra,platform,ds,nintendo,2008
483,hitman 2: silent assassin,action,ps2,eidos interactive,2002
484,street fighter iv,fighting,x360,capcom,2009
485,wave race 64,racing,n64,nintendo,1996
486,socom ii: u.s. navy seals,shooter,ps2,sony computer entertainment,2003
487,wwe smackdown! vs. raw 2006,fighting,ps2,thq,2005
488,infamous,action,ps3,sony computer entertainment,2009
489,pac-man collection,puzzle,gba,atari,2001
490,mass effect,role-playing,x360,microsoft game studios,2007
491,warioware: smooth moves,puzzle,wii,nintendo,2006
492,cooking mama: cook off,simulation,wii,505 games,2007
493,super mario world 2: yoshi's island,platform,gba,nintendo,2002
494,fifa 14,sports,ps4,electronic arts,2013
495,titanfall,shooter,xone,electronic arts,2014
496,sonic mega collection plus,misc,ps2,sega,2004
497,sega superstars tennis,sports,x360,sega,2008
498,world soccer winning eleven 7 international,sports,ps2,konami digital entertainment,2003
499,need for speed: most wanted,racing,ps3,electronic arts,2012
500,hot shots golf 3,sports,ps2,sony computer entertainment,2001
501,call of duty: finest hour,shooter,ps2,activision,2004
502,zumba fitness 2,sports,wii,majesco entertainment,2011
503,syphon filter,shooter,ps,sony computer entertainment,1999
504,imagine: babyz,simulation,ds,ubisoft,2007
505,colin mcrae rally,racing,ps,codemasters,1998
506,call of duty: ghosts,shooter,xone,activision,2013
507,madden nfl 13,sports,x360,electronic arts,2012
508,the elder scrolls iii: morrowind,role-playing,xb,ubisoft,2002
509,mortal kombat,fighting,ps3,warner bros. interactive entertainment,2011
510,f-zero,racing,snes,nintendo,1990
511,yoshi's story,platform,n64,nintendo,1997
512,command & conquer: red alert,strategy,pc,virgin interactive,1996
513,skylanders: spyro's adventure,action,wii,activision,2011
514,fifa 16,sports,ps3,electronic arts,2015
515,assassin's creed: brotherhood,action,ps3,ubisoft,2010
